Reference,Value,Footprint,Count,Datasheet,FootprintLib,Distributor
U1,HSCDRR004MD,DIP-8,1,,supermileage,
P1,CONN_01X04,Molex-duraClick-4conn,1,,User_Connectors,
C1;C3;C4;C5;C7,0.1uf,C_0603_HandSoldering,5,,Capacitors_SMD,Mouser
C2;C6;C8,10uf,C_0603_HandSoldering,3,,Capacitors_SMD,
W1;W2;W3;W4,Mount,MountingHole_2.2mm_M2,4,,Mounting_Holes,
U2,NJM2870F0,SOT-23-5,1,,TO_SOT_Packages_SMD,
P2,CONN_01X03,Pin_Header_Straight_1x03,1,,Pin_Headers,
R1,1k,R_0603_HandSoldering,1,,Resistors_SMD,
R2,2k,R_0603_HandSoldering,1,,Resistors_SMD,
Q1;Q2,Q_PMOS_GSD,SOT-23_Handsoldering,2,,TO_SOT_Packages_SMD,
U3,ASDX100A24R,ASDX100A24R,1,,supermileage,
U4,G4V-MINI,Socket_Strip_Straight_1x04,1,,Socket_Strips,
